id,city,city_code,begetter_code,counts
3419,北京市,110000,000000,25.0
3420,市辖区,110100,110000,25.0
3421,东城区,110101,110100,0.0
3422,西城区,110102,110100,0.0
3423,崇文区,110103,110100,0.0
3424,宣武区,110104,110100,0.0
3425,朝阳区,110105,110100,0.0
3426,丰台区,110106,110100,1.0
3427,石景山区,110107,110100,0.0
3428,海淀区,110108,110100,0.0
3429,门头沟区,110109,110100,0.0
3430,房山区,110111,110100,0.0
3431,通州区,110112,110100,1.0
3432,顺义区,110113,110100,0.0
3433,昌平区,110114,110100,0.0
3434,大兴区,110115,110100,0.0
3435,平谷区,110116,110100,0.0
3436,怀柔区,110117,110100,0.0
3437,市辖县,110200,110000,0.0
3438,密云县,110228,110200,0.0
3439,延庆县,110229,110200,0.0
3440,天津市,120000,000000,0.0
3441,市辖区,120100,120000,0.0
3442,和平区,120101,120100,0.0
3443,河东区,120102,120100,0.0
3444,河西区,120103,120100,0.0
3445,南开区,120104,120100,0.0
3446,河北区,120105,120100,0.0
3447,红桥区,120106,120100,0.0
3448,塘沽区,120107,120100,0.0
3449,汉沽区,120108,120100,0.0
3450,大港区,120109,120100,0.0
3451,东丽区,120110,120100,0.0
3452,西青区,120111,120100,0.0
3453,津南区,120112,120100,0.0
3454,北辰区,120113,120100,0.0
3455,武清区,120114,120100,0.0
3456,宝坻区,120115,120100,0.0
3457,市辖县,120200,120000,0.0
3458,宁河县,120221,120200,0.0
3459,静海县,120223,120200,0.0
3460,蓟县,120225,120200,0.0
3461,河北省,130000,000000,213.0
3462,石家庄市,130100,130000,5.0
3463,长安区,130102,130100,0.0
3464,桥东区,130103,130100,0.0
3465,桥西区,130104,130100,0.0
3466,新华区,130105,130100,0.0
3467,井陉矿区,130107,130100,0.0
3468,裕华区,130108,130100,0.0
3469,井陉县,130121,130100,0.0
3470,正定县,130123,130100,0.0
3471,栾城县,130124,130100,0.0
3472,行唐县,130125,130100,0.0
3473,灵寿县,130126,130100,0.0
3474,高邑县,130127,130100,0.0
3475,深泽县,130128,130100,0.0
3476,赞皇县,130129,130100,0.0
3477,无极县,130130,130100,0.0
3478,平山县,130131,130100,0.0
3479,元氏县,130132,130100,1.0
3480,赵县,130133,130100,0.0
3481,辛集市,130181,130100,0.0
3482,藁城市,130182,130100,0.0
3483,晋州市,130183,130100,0.0
3484,新乐市,130184,130100,0.0
3485,鹿泉市,130185,130100,0.0
3486,唐山市,130200,130000,31.0
3487,路南区,130202,130200,0.0
3488,路北区,130203,130200,0.0
3489,古冶区,130204,130200,0.0
3490,开平区,130205,130200,0.0
3491,新区,130206,130200,0.0
3492,丰润县,130221,130200,0.0
3493,滦县,130223,130200,0.0
3494,滦南县,130224,130200,1.0
3495,乐亭县,130225,130200,0.0
3496,迁西县,130227,130200,0.0
3497,玉田县,130229,130200,7.0
3498,唐海县,130230,130200,0.0
3499,遵化市,130281,130200,0.0
3500,丰南市,130282,130200,0.0
3501,迁安市,130283,130200,0.0
3502,秦皇岛市,130300,130000,22.0
3503,海港区,130302,130300,0.0
3504,山海关区,130303,130300,0.0
3505,北戴河区,130304,130300,0.0
3506,青龙满族自治县,130321,130300,0.0
3507,昌黎县,130322,130300,10.0
3508,抚宁县,130323,130300,0.0
3509,卢龙县,130324,130300,0.0
3510,邯郸市,130400,130000,4.0
3511,邯山区,130402,130400,0.0
3512,丛台区,130403,130400,0.0
3513,复兴区,130404,130400,0.0
3514,峰峰矿区,130406,130400,0.0
3515,邯郸县,130421,130400,0.0
3516,临漳县,130423,130400,0.0
3517,成安县,130424,130400,0.0
3518,大名县,130425,130400,0.0
3519,涉县,130426,130400,0.0
3520,磁县,130427,130400,0.0
3521,肥乡县,130428,130400,0.0
3522,永年县,130429,130400,0.0
3523,邱县,130430,130400,0.0
3524,鸡泽县,130431,130400,0.0
3525,广平县,130432,130400,0.0
3526,馆陶县,130433,130400,0.0
3527,魏县,130434,130400,0.0
3528,曲周县,130435,130400,0.0
3529,武安市,130481,130400,0.0
3530,邢台市,130500,130000,-1.0
3531,桥东区,130502,130500,0.0
3532,桥西区,130503,130500,0.0
